RANKING DE OPORTUNIDADES,DATA_CRIACAO,ID AUTOMÁTICO,CUSTOMER,VENDEDOR,COUNTRY,PROVINCE,PRODUCT,SOLUTION/BID, mkt_qty , lvk_qty ,BID DATE,DATA DE FECHAMENTO,INCORTERM,net_price_usd,total_net_usd,TOTAL NET HX (USD),exchange_rate, TOTAL NET (R$) , TOTAL NET LVK (R$) ,ESTAGIO,STATUS,RISCO,PROBABILIDADE,PROX PASSO,MOTIVO PERDA,OBSERVAÇÕES,DATA DA ULTIMA ATUALIZAÇÃO,STATUS_DADOS,ID_OPORTUNIDADE,ALERTA AUTOMÁTICO,Dolar do dia,"5,1523"
,13/04/2026,,CPO ORSINE,Felipe Hanke,Brasil,Amazonas,DC 120kW,CPO,  20 ,,12/05/2026,30/07/2026,FOB,"$122.275,49","$122.275,49","$122.275,49",," R$  630.000,00 "," R$  630.000,00 ",Negociação,Aguardando parceiro,Baixo,50%,Estamos em conversa com Orsine para fechar escopo FOB China,,,15/06/2026,,,,,
,13/04/2026,OPP-JUN-0426-013,JUNDU,Felipe Hanke,Brasil,São Paulo,POC Bess 261 + Bess 10MWh,Analândia,  2 ,,30/03/2026,01/12/2026,CIF,"$147.506,94","$147.506,94","$147.506,94",," R$  760.000,00 "," R$  760.000,00 ",Proposta,Aguardando processo interno,Alto,80%,"Verificando com Kelly sobre novo Bess para POC, Felipe está em contato com Jener",,,15/06/2026,,,,,
,03/04/2026,OPP-PRE-0426-005,PREFEITURA DE SÃO JOSÉ DOS CAMPOS,Felipe Hanke,Brasil,São Paulo,180kW DC Dual,Transporte Público (conception),  79 , - ,15/04/2026,?,CIF,"$0,00","$0,00","$0,00",,,,Qualificação,Parado,Alto,0%,Verificar alternativa de quem investirá,,,15/06/2026,,,,,
,03/04/2026,OPP-EXP-0426-011,EXPRESS,Felipe Hanke,Brasil,São Paulo,High Voltage Substation Structure,SP TRANS,  1 , - ,30/06/2026,?,CIF,"$0,00","$0,00","$0,00",,,,Qualificação,Parado,Alto,0%,"Tentei contato com Toninho várias vezes, na ida para SP tentar novo contato e visita",,,15/06/2026,,,,,
,03/04/2026,OPP-SHC-0426-012,SHC JAC MOTORS,Felipe Hanke,Brasil,São Paulo,AC 7kw,Channel,  300 ,  90 ,11/07/2026,?,CIF,"$0,00","$0,00","$0,00",,,,Qualificação,Parado,Alto,30%,Verificar com Flávio,,,15/06/2026,,,,,
,03/04/2026,OPP-EZ -0426-013,EZ VOLT,Felipe Hanke,Brasil,Rio de Janeiro,AC 7kw,Annual Purchase,  250 , - ,15/08/2026,?,FOB,"$0,00","$0,00","$0,00",,,,Qualificação,Parado,Alto,0%,"EZ volt tem aproximadamente 60% dos apps de frotas nas garagens, verificar sobre aproximação e ver se compram carregadores da Livoltek, não fabricam.",,,15/06/2026,,,,,
,03/04/2026,OPP-UBE-0426-016,UBERLANDIA,Felipe Hanke,Brasil,Minas Gerais,180kW DC Dual,Transporte Público,  15 , - ,15/10/2026,?,CIF,"$0,00","$0,00","$0,00",,,,Proposta,Parado,Alto,0%,"Conversa realizada com Paulo, enviei datasheet do BESS para esclarecimento, fazer contato para entender sobre outras oportunidades",,,15/06/2026,,,,,
,03/04/2026,OPP-VIA-0426-017,VIAÇÃO SANTA BRÍGIDA,Felipe Hanke,Brasil,São Paulo,180kW DC Dual,SP TRANS,  16 , - ,15/10/2026,?,CIF,"$0,00","$0,00","$0,00",,,,Proposta,Parado,Alto,0%,"Tentar aproximar e agendar uma conversa, Flávio quem possui o contato do pessoal, pegar detalhe da negociação",,,15/06/2026,,,,,
,13/04/2026,OPP-DAN-0426-020,DANIEL MELILO,Felipe Hanke,Brasil,Minas Gerais,Carregador DC CPO,Transporte público,,,30/03/2026,12/05/2026,CIF,"$16.885,66","$16.885,66","$16.885,66",," R$  87.000,00 "," R$  87.000,00 ",Proposta,Em andamento,Alto,0%,Cliente pretende avançar na contratação de carregadores.,,,15/06/2026,,,,,
,13/04/2026,OPP-HS -0426-022,HS PRATES,Felipe Hanke,Brasil,Minas Gerais,BESS + SOLAR,Agronegócio,,,30/03/2026,01/02/2026,CIF,"$0,00","$0,00","$0,00",,,,Lead,Em andamento,Médio,30%,"Fazer visita em São Gotardo, usa gerador à diesel no Plantio",,,15/06/2026,,,,,
,13/04/2026,OPP-GRU-0426-023,GRUPO SEKITA,Felipe Hanke,Brasil,Minas Gerais,BESS + SOLAR GY,Agronegócio,,,30/03/2026,01/02/2026,CIF,"$0,00","$0,00","$0,00",,,,Lead,Em andamento,Médio,0%,"Fazer visita em São Gotardo, usa gerador à diesel no Plantio",,,15/06/2026,,,,,
6,13/04/2026,OPP-GRE-0426-024,GREEN YELLOW,Felipe Hanke,Brasil,Minas Gerais,PARCERIA,BESS + Solar,,,30/03/2026,10/11/2026,CIF,"$0,00","$0,00","$0,00",,,,Lead,Em andamento,Baixo,100%,"Contato realizado, aguardando jurídico analizar contrato e",,,15/06/2026,,,,,
,13/04/2026,OPP-CAS-0426-025,CASG,Felipe Hanke,Brasil,Minas Gerais,BESS + SOLAR,Agronegócio,,,30/03/2026,01/02/2026,CIF,"$0,00","$0,00","$0,00",,,,Lead,Em andamento,Médio,0%,"Fazer visita em São Gotardo, usa gerador à diesel no Plantio",,,15/06/2026,,,,,
7,08/06/2026,,AEVO Energia,Felipe Hanke,Brasil,Espirito Santo,BESS + Carregadores Veiculares,EPC,,,11/06/2026,09/09/2026,CIF,"$0,00","$0,00","$0,00",,,,Qualificação,Aguardando processo interno,Baixo,0%,"Reunião Realizada e treinamento também, pessoal tem interesse em CPO e também BESS, integradores grandes em ES",,,15/06/2026,,,,,
8,08/06/2026,,DBA Energia - Frigorífico,Felipe Hanke,Brasil,Bahia,BESS + Carregadores Veiculares,EPC,,,11/06/2026,09/09/2026,CIF,"$195.763,67","$195.763,67","$195.763,67",," R$  1.000.000,00 "," R$  1.000.000,00 ",Proposta,Aguardando processo interno,Médio,50%,"Integrador grande na Bahia, interessado em BESS",,,15/06/2026,,,,,
