DATA_SNAPSHOT,ID_OPORTUNIDADE,CUSTOMER,VENDEDOR, TOTAL NET LVK (R$) ,ESTAGIO,STATUS,RISCO,PROBABILIDADE,PROX PASSO,DATA DA ULTIMA ATUALIZAÇÃO,DATA DE FECHAMENTO,CHAVE,STATUS ANTERIOR
13/04/2026,OPP-CAM-0526-003,CAMPO BELO 2 (RV TRANS),Bruno Reis," R$  1.948.000,00 ", Negociação ,,,100%,,13/04/2026,,,
12/05/2026,OPP-CAM-0526-003,CAMPO BELO 2 (RV TRANS),Bruno Reis," R$  1.948.000,00 ", Negociação , Aguardando cliente ,Baixo,100%,,05/06/2026,,,
13/04/2026,OPP-CAS-0426-024,CASG,Felipe Hanke,,Qualificação,Em andamento,,,"Fazer visita em São Gotardo, usa gerador à diesel no Plantio",13/04/2026,,,
13/04/2026,OPP-CAS-0426-025,CASG,Felipe Hanke,,Lead,Em andamento,,0%,"Fazer visita em São Gotardo, usa gerador à diesel no Plantio",12/05/2026,,,
,,CPO ORSINE,Felipe Hanke," R$  510.000,00 ",Negociação,Aguardando parceiro,,50%,Estamos em conversa com Orsine para fechar escopo FOB China,12/05/2026,,,
13/04/2026,OPP-DAN-0426-020,DANIEL MELILO,Felipe Hanke,,Proposta,Em andamento,,0%,Cliente pretende avançar na contratação de carregadores.,12/05/2026,,,
13/04/2026,OPP-Dan-0426-023,Daniel Melilo,Felipe Hanke,,Qualificação,Em andamento,,,Cliente pretende avançar na contratação de carregadores.,13/04/2026,,,12/05/2026
03/04/2026,OPP-Dia-0426-022,Diadema,Bruno Reis," R$  870.000,00 ", Negociação ,,,100%,,03/04/2026,,,
13/04/2026,OPP-Dia-0426-022,DIADEMA,Bruno Reis," R$  870.000,00 ", Negociação ,,,100%,,13/04/2026,,,
03/04/2026,OPP-Dia-0426-023,Diadema,Bruno Reis," R$  3.500.000,00 ", Negociação ,,,100%,,03/04/2026,,,
13/04/2026,OPP-Dia-0426-023,DIADEMA,Bruno Reis," R$  3.500.000,00 ", Negociação ,,,100%,,13/04/2026,,,
03/04/2026,OPP-DIA-0426-025,DIADEMA,Bruno Reis," R$ 870.000,00 ", Negociação , Em andamento ,Médio,100%,,12/05/2026,,,
03/04/2026,OPP-DIA-0426-026,DIADEMA,Bruno Reis," R$ 3.500.000,00 ", Negociação , Em andamento ,Baixo,100%,,12/05/2026,,,
