DATA_SNAPSHOT;ID_OPORTUNIDADE;CUSTOMER;VENDEDOR; TOTAL NET LVK (R$) ;ESTAGIO;STATUS;RISCO;PROBABILIDADE;PROX PASSO;DATA DA ULTIMA ATUALIZAÇÃO;DATA DE FECHAMENTO;CHAVE;STATUS ANTERIOR
13/04/2026;OPP-HS -0426-020;HS PRATES;Felipe Hanke;;Qualificação;Em andamento;;;Fazer visita em São Gotardo, usa gerador à diesel no Plantio;13/04/2026;;;12/05/2026
13/04/2026;OPP-HS -0426-022;HS PRATES;Felipe Hanke;;Lead;Em andamento;;0%;Fazer visita em São Gotardo, usa gerador à diesel no Plantio;12/05/2026;;;
13/04/2026;OPP-JUN-0426-013;JUNDU;Felipe Hanke;; Proposta ;Aguardando interno;;80%;Verificando com Kelly sobre novo Bess para POC, Felipe está em contato com Jener;12/05/2026;;;
13/04/2026;OPP-JUN-0426-018;JUNDU;Felipe Hanke;; Negociação ;Aguardando interno;;;Verificando com Kelly sobre novo Bess para POC, Felipe está em contato com Jener;13/04/2026;;;12/05/2026
13/04/2026;OPP-KBP-0426-013;KBPX;Bruno Reis; R$ 10.000.000,00 ; Proposta ; Aguardando cliente ;Baixo;100%;Proposta está com engenharia. Retornar daqui alguns meses;08/06/2026;;;#REF!
03/04/2026;OPP-KBP-0426-014;KBPX;Bruno Reis; R$ 4.257.000,00 ; Proposta ; Aguardando cliente ;Baixo;100%;Proposta está com engenharia. Retornar daqui alguns meses;08/06/2026;;;
03/04/2026;OPP-MAC-0426-023;MACAÉ;Bruno Reis; R$ 5.250.000,00 ; Lead ; Aguardando cliente ;Baixo;100%;Aguardando abertura do Lead;08/06/0206;;;
03/04/2026;OPP-MAR-0426-002;MARECHAL;Felipe Hanke; R$  200.567,00 ; Proposta ; Aguardando Engenharia ;;100%;Proposta apresentada, porém cliente disse que não possui carga para conexão do carregador, temos de revisar o escopo incluindo 1 Bess de 261;08/06/0206;;;
12/05/2026;OPP-MON-0526-032;MONTES CLAROS;Bruno Reis;; Lead ; Aguardando cliente ;Médio;100%;Aguardando a licitação;08/06/2026;;;
04/03/2026;OPP-MOV-0326-031;MOVEBUSS;Bruno Reis;; Fechamento ;Aguardando cliente;Médio;100%;Aguardando decisão do cliente;08/06/2026;;;
13/04/2026;OPP-NOR-0426-015;NORTEBUSS;Bruno Reis; R$ 10.000.000,00 ; Proposta ; Aguardando interno ;Baixo;100%;Vão para alta tensão e estamos aguardando proposta;05/06/2026;;;#REF!
03/04/2026;OPP-NOR-0426-016;NORTEBUSS;Bruno Reis; R$ 4.257.000,00 ; Proposta ; Aguardando Pricing ;Baixo;100%;Vão para alta tensão e estamos aguardando proposta;05/06/2026;;;
03/04/2026;OPP-PÊS-0426-009;PÊSSEGO;Bruno Reis; R$ - ; Lead ; Parado ;Alto;0%;Retornar em alguns meses;08/06/2026;;;
03/04/2026;OPP-POR-0426-024;PORTO ALEGRE;Felipe Hanke; R$ 1.312.500,00 ; Negociação ;Parado;Médio;25%;;25/05/2026;;;
03/04/2026;OPP-PRE-0426-004;PREFEITURA DE BELO HORIZONTE;Bruno Reis; R$ 14.971.578,66 ; Perdido ; Perdido ;Baixo;0%;Temos recurso para o dia 16/06;08/06/2026;;;
03/04/2026;OPP-PRE-0426-005;PREFEITURA DE SÃO JOSÉ DOS CAMPOS;Felipe Hanke;; Negociação ;Parado;;0%;Verificar alternativa de quem investirá;12/05/2026;;;
03/04/2026;OPP-SAM-0426-017;SAMBAÍBA;Bruno Reis; R$ - ; Negociação ; Aguardando Engenharia ;Médio;50%;Aguardando time de engenharia;08/06/2026;;;
03/04/2026;OPP-SAM-0426-018;SAMBAÍBA G1;Bruno Reis; R$ - ; Negociação ; Aguardando Engenharia ;Médio;50%;Aguardando time de engenharia;08/06/2026;;;
13/04/2026;OPP-SAM-0426-019;SAMBAIBA G3;Bruno Reis; R$ - ; Negociação ; Aguardando Engenharia ;Médio;50%;Aguardando time de engenharia;08/06/2026;;;
14/04/2026;OPP-SAM-0426-020;SAMBAIBA G4;Bruno Reis; R$ - ; Negociação ; Aguardando Engenharia ;Médio;50%;Aguardando time de engenharia;08/06/2026;;;
03/04/2026;OPP-SHC-0426-012;SHC JAC MOTORS;Felipe Hanke; R$ 90.000,00 ;Negociação;Parado;;30%;Verificar com Flávio;12/05/2026;;;
;;SP TRANS;Bruno Reis; R$ 23.400,00 ; Ganho ;Ganho;;100%;;;;;
03/04/2026;OPP-TRA-0426-029;TRANSPASS (RV TRANS);Bruno Reis; R$ - ; Negociação ; Aguardando Engenharia ;Médio;50%;Aguardando time de engenharia;08/06/2026;;;
03/04/2026;OPP-UBE-0426-016;UBERLANDIA;Felipe Hanke;; Negociação ;Parado;;0%;Conversa realizada com Paulo, enviei datasheet do BESS para esclarecimento, fazer contato para entender sobre outras oportunidades;12/05/2026;;;
13/04/2026;OPP-VAL-0426-021;VALE VARGEM GRANDE;Felipe Hanke;; Proposta ; Aguardando Engenharia ;;80%;Aguardando envio de informações para especificação de Bess para canteiro de obras e Bombas;12/05/2026;;;
03/04/2026;OPP-VIA-0426-006;VIAÇÃO CIDADE SORRISO;Felipe Hanke; R$  2.115.818,00 ;Fechamento;Aguardando cliente;;100%;Revisão para carregador de 180kW, Flávio está alinhando com Cao e Beto CWBus;12/05/2026;;;
03/04/2026;OPP-VIA-0426-007;VIAÇÃO GLÓRIA;Felipe Hanke; R$  2.115.818,00 ; Fechamento ;Aguardando cliente;;100%;Revisão para carregador de 180kW, Flávio está alinhando com Cao e Beto CWBus;12/05/2026;;;
03/04/2026;OPP-Via-0426-024;Viação Metrópole;Bruno Reis; R$ 2.800.000,00 ; Negociação ;Aguardando cliente;;50%;Aguardar retorno Julho;08/06/2026;;;12/05/2026
